33860,"Montgomery, AL",96,346575.0,374536.0,19.86
19300,"Daphne-Fairhope-Foley, AL",32,140416.0,182265.0,27.14
21640,"Eufaula, AL-GA",10,31638.0,29970.0,-6.74
13820,"Birmingham-Hoover, AL",264,1051334.0,1128047.0,9.75
,,5605,19153788.0,19511499.0,1.24
11500,"Anniston-Oxford, AL",31,111913.0,118572.0,0.7
46740,"Valley, AL",9,36592.0,34215.0,-8.62
21460,"Enterprise-Ozark, AL",28,92762.0,100199.0,6.94
22520,"Florence-Muscle Shoals, AL",36,142929.0,147137.0,2.41
10760,"Alexander City, AL",13,53622.0,53155.0,-1.28
18980,"Cullman, AL",18,77438.0,80406.0,4.37
42820,"Selma, AL",15,46361.0,43820.0,-5.16
22840,"Fort Payne, AL",14,64433.0,71109.0,9.45
23460,"Gadsden, AL",30,103451.0,104430.0,-1.12
20020,"Dothan, AL",34,130823.0,145639.0,8.8
46220,"Tuscaloosa, AL",56,193119.0,219461.0,14.43
42460,"Scottsboro, AL",11,53882.0,53227.0,-1.83
19460,"Decatur, AL",36,145901.0,153829.0,4.24
12220,"Auburn-Opelika, AL",27,115018.0,140247.0,20.36
26620,"Huntsville, AL",89,342661.0,417593.0,19.32
46260,"Tuskegee, AL",12,24084.0,21452.0,-11.43
10700,"Albertville, AL",18,82308.0,93019.0,12.97
33660,"Mobile, AL",115,399889.0,412992.0,-1.0
45980,"Troy, AL",8,29690.0,32899.0,6.11
17980,"Columbus, GA-AL",78,281870.0,294865.0,3.4
45180,"Talladega-Sylacauga, AL",22,80703.0,82291.0,1.76
11260,"Anchorage, AK",79,319619.0,380821.0,23.31
21820,"Fairbanks, AK",19,82849.0,97581.0,15.51
27940,"Juneau, AK",6,30704.0,31275.0,2.28
28540,"Ketchikan, AK",4,14074.0,13477.0,-4.41
28980,"Kodiak, AK",5,13916.0,13592.0,-6.95
43420,"Sierra Vista-Douglas, AZ",32,117740.0,131346.0,12.06
22380,"Flagstaff, AZ",28,116321.0,134421.0,16.51
37740,"Payson, AZ",16,51301.0,53597.0,5.55
40940,"Safford, AZ",12,42015.0,45657.0,10.29
38060,"Phoenix-Mesa-Glendale, AZ",991,3251885.0,4192887.0,41.51
29420,"Lake Havasu City-Kingman, AZ",43,154975.0,200186.0,28.15
43320,"Show Low, AZ",31,97451.0,107449.0,10.4
46060,"Tucson, AZ",241,843705.0,980263.0,29.15
35700,"Nogales, AZ",10,38379.0,47420.0,18.31
39140,"Prescott, AZ",42,167377.0,211033.0,24.27
49740,"Yuma, AZ",55,159995.0,195751.0,35.33
34260,"Mountain Home, AR",9,38365.0,41513.0,8.46
22220,"Fayetteville-Springdale-Rogers, AR-MO",89,347038.0,463204.0,53.35
25460,"Harrison, AR",9,42545.0,45233.0,5.65
15780,"Camden, AR",8,34506.0,31488.0,-8.42
11660,"Arkadelphia, AR",5,23541.0,22995.0,-1.75
38220,"Pine Bluff, AR",30,107331.0,100258.0,-7.51
31620,"Magnolia, AR",5,25613.0,24552.0,-4.72
27860,"Jonesboro, AR",24,107753.0,121026.0,11.31
22900,"Fort Smith, AR-OK",61,273172.0,298592.0,8.57
32820,"Memphis, TN-MS-AR",312,1205260.0,1316100.0,12.05
30780,"Little Rock-North Little Rock-Conway, AR",164,610465.0,699757.0,16.38
26300,"Hot Springs, AR",20,88131.0,96024.0,6.56
37500,"Paragould, AR",9,37383.0,42090.0,10.44
26260,"Hope, AR",8,33532.0,31606.0,-6.35
12900,"Batesville, AR",8,34237.0,36647.0,7.52
45500,"Texarkana, TX-Texarkana, AR",30,129752.0,136027.0,2.91
14180,"Blytheville, AR",12,51999.0,46480.0,-11.71
25760,"Helena-West Helena, AR",6,26438.0,21757.0,-21.03
40780,"Russellville, AR",17,75601.0,83939.0,10.59
22620,"Forrest City, AR",6,29326.0,28258.0,-6.57
20980,"El Dorado, AR",10,45633.0,41639.0,-9.14
42620,"Searcy, AR",13,67166.0,77076.0,14.58
41860,"San Francisco-Oakland-Fremont, CA",980,4123716.0,4335391.0,6.59
17020,"Chico, CA",51,203125.0,220000.0,13.59
18860,"Crescent City, CA",8,27505.0,28610.0,7.41
40900,"Sacramento--Arden-Arcade--Roseville, CA",486,1796836.0,2149127.0,21.89
23420,"Fresno, CA",199,798753.0,930450.0,30.61
21700,"Eureka-Arcata-Fortuna, CA",31,126509.0,134623.0,6.35
20940,"El Centro, CA",31,142334.0,174528.0,32.19
13860,"Bishop, CA",6,17955.0,18546.0,2.32
12540,"Bakersfield-Delano, CA",151,661632.0,839631.0,34.56
25260,"Hanford-Corcoran, CA",27,129469.0,152982.0,22.0
17340,"Clearlake, CA",15,58331.0,64665.0,10.56
45000,"Susanville, CA",9,33828.0,34895.0,3.99
31100,"Los Angeles-Long Beach-Santa Ana, CA",2929,12365635.0,12828837.0,4.55
31460,"Madera-Chowchilla, CA",23,123179.0,150865.0,22.71
46380,"Ukiah, CA",21,86256.0,87841.0,1.64
32900,"Merced, CA",49,211194.0,255793.0,22.71
41500,"Salinas, CA",94,401750.0,415057.0,3.13
34900,"Napa, CA",40,124344.0,136484.0,18.65
46020,"Truckee-Grass Valley, CA",20,92046.0,98764.0,8.24
40140,"Riverside-San Bernardino-Ontario, CA",822,3254802.0,4224851.0,43.82
41940,"San Jose-Sunnyvale-Santa Clara, CA",383,1735994.0,1836911.0,7.71
41740,"San Diego-Carlsbad-San Marcos, CA",628,2813820.0,3095313.0,10.4
44700,"Stockton, CA",139,563659.0,685306.0,27.96
42020,"San Luis Obispo-Paso Robles, CA",54,246746.0,269637.0,8.24
